title,log_budget,popularity,runtime,release_month,release_year,genre_count,log_revenue
Teenage Mutant Ninja Turtles,18.643824303266577,143.350376,101.0,8.0,2014.0,5,19.983446250283592
Gravity,18.46947091764561,110.153618,91.0,9.0,2013.0,3,20.38973904663613
Dante's Peak,18.569100757691327,16.90444,108.0,2.0,1997.0,3,18.998011609217937
Teenage Mutant Ninja Turtles: Out of the Shadows,18.72078534381011,39.873791,112.0,6.0,2016.0,4,19.31931185457173
Fantastic Four,18.603002309079653,38.126095,100.0,8.0,2015.0,3,18.939341177284998
Night at the Museum,18.5159909328476,48.780039,108.0,10.0,2006.0,5,20.168977307438567
San Andreas,18.5159909328476,100.412364,114.0,5.0,2015.0,3,19.96928703327174
Tomorrow Never Dies,18.5159909328476,42.887121,119.0,12.0,1997.0,3,19.623686287632513
The Patriot,18.5159909328476,23.657284,165.0,6.0,2000.0,4,19.187516687024235
Ocean's Twelve,18.5159909328476,76.840712,125.0,12.0,2004.0,2,19.70920868392545
Mr. & Mrs. Smith,18.5159909328476,44.635452,120.0,6.0,2005.0,4,19.985555340593802
Insurgent,18.5159909328476,103.718387,119.0,3.0,2015.0,3,19.50329305288687
The Aviator,18.569100757691327,45.616098,170.0,12.0,2004.0,1,18.440483381052466
Gulliver's Travels,18.53400943818794,22.845143,85.0,12.0,2010.0,1,19.285184270011115
The Green Hornet,18.603002309079653,31.703608,119.0,1.0,2011.0,3,19.24405432604051
300: Rise of an Empire,18.5159909328476,71.510596,102.0,3.0,2014.0,2,19.637313231262606
The Smurfs,18.5159909328476,36.65422,103.0,7.0,2011.0,5,20.15012024966736
Home on the Range,18.5159909328476,19.625972,76.0,4.0,2004.0,2,18.459434636623456
Allegiant,18.5159909328476,86.105615,121.0,3.0,2016.0,2,19.004274570066904
Real Steel,18.5159909328476,37.195046,127.0,9.0,2011.0,3,19.516851751784547
The Smurfs 2,18.46947091764561,32.473628,105.0,7.0,2013.0,4,19.666085792078583
Speed 2: Cruise Control,18.8906843794481,23.336875,121.0,6.0,1997.0,3,18.91847016648098
Ender's Game,18.5159909328476,45.94834,114.0,10.0,2013.0,3,18.648112623230556
Live Free or Die Hard,18.5159909328476,48.93337,128.0,6.0,2007.0,2,19.764932222342033
The Lord of the Rings: The Fellowship of the Ring,18.34811006187022,138.049577,178.0,12.0,2001.0,3,20.585575367339324
Around the World in 80 Days,18.5159909328476,22.643776,120.0,6.0,2004.0,3,18.09465826196635
Ali,18.488339401771974,18.866672,157.0,12.0,2001.0,1,18.289590096000023
"I, Robot",18.603002309079653,95.914473,115.0,7.0,2004.0,2,19.665512103090222
Kingdom of Heaven,18.683045016112164,44.490453,144.0,5.0,2005.0,5,19.170412202178735
Stuart Little,18.705859693704824,30.475297,84.0,12.0,1999.0,4,19.519744157515003
The Princess and the Frog,18.46947091764561,62.479574,97.0,12.0,2009.0,4,19.40293060991551
The Martian,18.497641794347754,167.93287,141.0,9.0,2015.0,3,20.261487314180027
The Island,18.65179247285226,37.68056,136.0,7.0,2005.0,4,18.908948838963468
Town & Country,18.31532023940565,1.004579,104.0,4.0,2001.0,2,16.154648577963272
Gone in Sixty Seconds,18.31532023940565,52.995628,118.0,6.0,2000.0,3,19.28442392149952
Gladiator,18.450239555902648,95.301296,155.0,5.0,2000.0,3,19.941594342029514
Minority Report,18.440483381052466,65.948959,145.0,6.0,2002.0,4,19.69708469770741
Harry Potter and the Chamber of Secrets,18.420680753952364,132.397737,161.0,11.0,2002.0,3,20.591662279709666
Casino Royale,18.826145858727198,88.935165,144.0,11.0,2006.0,3,20.21084888268541
Planet of the Apes,18.420680753952364,51.188633,119.0,7.0,2001.0,4,19.707739518680587
Terminator 2: Judgment Day,18.420680753952364,101.74155,137.0,7.0,1991.0,3,20.069339371462824
Public Enemies,18.197537205138154,33.691694,140.0,7.0,2009.0,3,19.18197533669925
American Gangster,18.420680753952364,42.361215,157.0,11.0,2007.0,2,19.400753603470644
